state,year,month,year_month,dengueCases,zikaCases,chikvCases,pop_tot,dengueIncidence,zikaIncidence,chikvIncidence
PB,2019,3,2019-03-01,1287,30,18,4018127,32.02984873300421,0.7466165205828487,0.44796991234970923
PB,2019,4,2019-04-01,2247,93,48,4018127,55.92157739165536,2.314511213806831,1.1945864329325577
PB,2019,5,2019-05-01,2948,111,111,4018127,73.36751675594127,2.76248112615654,2.76248112615654
PB,2019,6,2019-06-01,3371,71,64,4018127,83.89480969615943,1.766992432046075,1.5927819105767438
PB,2019,7,2019-07-01,2471,98,55,4018127,61.496314078673976,2.438947300570639,1.3687969544018892
PB,2019,8,2019-08-01,2727,84,64,4018127,67.86744172098095,2.0905262576319763,1.5927819105767438
PB,2019,9,2019-09-01,1216,76,94,4018127,30.262856300958134,1.8914285188098834,2.3393984311595926
PB,2019,10,2019-10-01,739,49,60,4018127,18.39165362369084,1.2194736502853194,1.4932330411656973
PB,2019,11,2019-11-01,665,32,40,4018127,16.54999953958648,0.7963909552883719,0.9954886941104648
PB,2019,12,2019-12-01,358,14,25,4018127,8.909623812288661,0.3484210429386627,0.6221804338190406
PB,2020,1,2020-01-01,609,24,23,4039277,15.07695560368848,0.5941657380763934,0.5694088323232104
PB,2020,2,2020-02-01,837,16,26,4039277,20.721530115414218,0.3961104920509289,0.6436795495827594
PB,2020,3,2020-03-01,508,14,15,4039277,12.576508122616993,0.3465966805445628,0.37135358629774584
PB,2020,4,2020-04-01,438,18,25,4039277,10.843524719894178,0.44562430355729504,0.6189226438295764
PB,2020,5,2020-05-01,985,54,65,4039277,24.38555216688531,1.336872910671885,1.6091988739568988
PB,2020,6,2020-06-01,729,96,194,4039277,18.047784294070446,2.3766629523055736,4.802839716117513
PB,2020,7,2020-07-01,801,141,460,4039277,19.83028150829963,3.490723711198811,11.388176646464206
PB,2020,8,2020-08-01,738,97,205,4039277,18.270596445849094,2.4014198580587567,5.075165679402527
PB,2020,9,2020-09-01,420,56,174,4039277,10.397900416336885,1.386386722178251,4.307701601053852
PB,2020,10,2020-10-01,392,38,76,4039277,9.704707055247757,0.9407624186209562,1.8815248372419124
PB,2020,11,2020-11-01,234,32,41,4039277,5.793115946244836,0.7922209841018578,1.0150331358805054
PB,2020,12,2020-12-01,194,38,30,4039277,4.802839716117513,0.9407624186209562,0.7427071725954917
PB,2021,1,2021-01-01,169,22,41,4059905,4.162658978473634,0.541884600748047,1.009875846848633
